type	latitude	longitude	
W	51.5251663	-0.1123953	
W	51.5253799	-0.1115370	
W	51.5254066	-0.1118374	
W	51.5254867	-0.1110649	
W	51.5255401	-0.1108074	
W	51.5256736	-0.1102495	
W	51.5258872	-0.1096916	
W	51.5261008	-0.1092625	
W	51.5262343	-0.1090050	
W	51.5262343	-0.1088333	
W	51.5262877	-0.1084900	
W	51.5265280	-0.1081896	
W	51.5265280	-0.1078892	
W	51.5265280	-0.1078033	
W	51.5285305	-0.1172876	
W	51.5285305	-0.1169443	
W	51.5285839	-0.1166868	
W	51.5286907	-0.1161718	
W	51.5286640	-0.1157856	
W	51.5289043	-0.1153994	
W	51.5289043	-0.1151419	
W	51.5289310	-0.1146698	
W	51.5290645	-0.1143265	
W	51.5291980	-0.1136398	
W	51.5292781	-0.1133823	
W	51.5293314	-0.1130819	
W	51.5344305	-0.1080608	
W	51.5342170	-0.1077604	
W	51.5341102	-0.1077604	
W	51.5339233	-0.1075459	
W	51.5337364	-0.1074171	
W	51.5336030	-0.1072884	
W	51.5333360	-0.1071167	
W	51.5329356	-0.1069450	
W	51.5328288	-0.1069450	
W	51.5326152	-0.1067734	
W	51.5321881	-0.1067734	
W	51.5319211	-0.1066017	
W	51.5316808	-0.1066017	
W	51.5311469	-0.1063442	
W	51.5310134	-0.1062155	
W	51.5307998	-0.1062155	
W	51.5301591	-0.1058722	
W	51.5306396	-0.1062155	
W	51.5299188	-0.1057434	
W	51.5295984	-0.1057434	
W	51.5293581	-0.1056576	
W	51.5288776	-0.1053572	
W	51.5286373	-0.1054001	
W	51.5284237	-0.1052713	
W	51.5281300	-0.1050997	
W	51.5278363	-0.1050997	
W	51.5276227	-0.1050138	
W	51.5274091	-0.1049709	
W	51.5270353	-0.1048422	
W	51.5267683	-0.1048851	
W	51.5266615	-0.1045847	
W	51.5349911	-0.1078033	
W	51.5352581	-0.1072884	
W	51.5353382	-0.1066017	
W	51.5352848	-0.1058292	
W	51.5352047	-0.1053572	
W	51.5350445	-0.1046705	
W	51.5350979	-0.1038980	
W	51.5350712	-0.1029968	
W	51.5352581	-0.1033831	
W	51.5354449	-0.1050138	
W	51.5356051	-0.1061296	
W	51.5350979	-0.1025677	
W	51.5349110	-0.1019239	
W	51.5347242	-0.1015806	
W	51.5344038	-0.1011086	
W	51.5346174	-0.1014948	
W	51.5341636	-0.1008940	
W	51.5337631	-0.1010227	
W	51.5336831	-0.1010227	
W	51.5336030	-0.1011944	
W	51.5334428	-0.1013660	
W	51.5332559	-0.1017952	
W	51.5331491	-0.1018381	
W	51.5330690	-0.1021385	
W	51.5329623	-0.1022243	
W	51.5327487	-0.1027822	
W	51.5324550	-0.1032972	
W	51.5324817	-0.1037264	
W	51.5324016	-0.1043701	
W	51.5325885	-0.1039839	
W	51.5325618	-0.1047134	
